country_name,eprtrSectorName,reportingYear,total_waste
Czechia,"Mineral industry",2010,136580.33
Czechia,"Chemical industry",2010,205953.21
Czechia,"Waste and wastewater management",2010,692346.80
Czechia,"Other activities",2010,190414.70
Czechia,"Animal and vegetable products from the food and beverage sector",2010,73965.76
Czechia,"Production and processing of metals",2010,948392.31
Czechia,"Intensive livestock production and aquaculture",2010,28720.44
Czechia,"Energy sector",2010,1318959.55
Czechia,"Paper and wood production and processing",2010,69175.77
Czechia,"Paper and wood production and processing",2011,63353.92
Czechia,"Intensive livestock production and aquaculture",2011,18636.77
Czechia,"Mineral industry",2011,128381.16
Czechia,"Waste and wastewater management",2011,867386.25
Czechia,"Animal and vegetable products from the food and beverage sector",2011,44082.56
Czechia,"Chemical industry",2011,205099.16
Czechia,"Production and processing of metals",2011,1144397.54
Czechia,"Energy sector",2011,974513.36
Czechia,"Other activities",2011,262729.24
Czechia,"Production and processing of metals",2012,1181274.09
Czechia,"Mineral industry",2012,127878.12
Czechia,"Energy sector",2012,895056.25
Czechia,"Chemical industry",2012,131905.69
Czechia,"Waste and wastewater management",2012,650016.79
Czechia,"Other activities",2012,235350.93
Czechia,"Animal and vegetable products from the food and beverage sector",2012,58344.29
Czechia,"Paper and wood production and processing",2012,54322.17
Czechia,"Intensive livestock production and aquaculture",2012,17512.99
Czechia,"Other activities",2013,243314.14
Czechia,"Intensive livestock production and aquaculture",2013,22122.84
Czechia,"Waste and wastewater management",2013,734363.09
Czechia,"Mineral industry",2013,98288.46
Czechia,"Chemical industry",2013,139859.82
Czechia,"Animal and vegetable products from the food and beverage sector",2013,71016.25
Czechia,"Production and processing of metals",2013,1168228.17
Czechia,"Paper and wood production and processing",2013,49707.40
Czechia,"Energy sector",2013,877233.12
Czechia,"Intensive livestock production and aquaculture",2014,15352.18
Czechia,"Production and processing of metals",2014,1129123.01
Czechia,"Mineral industry",2014,124349.23
Czechia,"Chemical industry",2014,149766.26
Czechia,"Paper and wood production and processing",2014,63919.59
Czechia,"Energy sector",2014,856709.23
Czechia,"Animal and vegetable products from the food and beverage sector",2014,69880.42
Czechia,"Other activities",2014,243396.56
Czechia,"Waste and wastewater management",2014,793591.91
Czechia,"Mineral industry",2015,138970.09
Czechia,"Chemical industry",2015,134975.16
Czechia,"Waste and wastewater management",2015,879295.96
Czechia,"Energy sector",2015,855013.35
Czechia,"Production and processing of metals",2015,1154148.99
Czechia,"Paper and wood production and processing",2015,87902.81
Czechia,"Intensive livestock production and aquaculture",2015,25304.75
Czechia,"Other activities",2015,251401.41
Czechia,"Animal and vegetable products from the food and beverage sector",2015,83425.68
Czechia,"Chemical industry",2016,174123.34
Czechia,"Intensive livestock production and aquaculture",2016,25851.72
Czechia,"Production and processing of metals",2016,1192359.80
Czechia,"Animal and vegetable products from the food and beverage sector",2016,73553.79
Czechia,"Energy sector",2016,766301.93
Czechia,"Waste and wastewater management",2016,1020650.73
Czechia,"Other activities",2016,261312.69
Czechia,"Mineral industry",2016,144124.13
Czechia,"Paper and wood production and processing",2016,108355.33
Czechia,"Paper and wood production and processing",2017,113463.86
Czechia,"Production and processing of metals",2017,1134428.75
Czechia,"Mineral industry",2017,145328.97
Czechia,"Chemical industry",2017,170848.31
Czechia,"Waste and wastewater management",2017,914080.79
Czechia,"Energy sector",2017,519681.27
Czechia,"Intensive livestock production and aquaculture",2017,7106.22
Czechia,"Animal and vegetable products from the food and beverage sector",2017,76535.49
Czechia,"Other activities",2017,300575.56
Czechia,"Production and processing of metals",2018,1184860.88
Czechia,"Energy sector",2018,2618409.56
Czechia,"Mineral industry",2018,144453.93
Czechia,"Chemical industry",2018,169461.94
Czechia,"Waste and wastewater management",2018,946653.61
Czechia,"Animal and vegetable products from the food and beverage sector",2018,92276.44
Czechia,"Other activities",2018,361350.90
Czechia,"Paper and wood production and processing",2018,121050.17
Czechia,"Intensive livestock production and aquaculture",2018,7571.17
Czechia,"Animal and vegetable products from the food and beverage sector",2019,87552.96
Czechia,"Production and processing of metals",2019,1061557.97
Czechia,"Mineral industry",2019,125593.63
Czechia,"Chemical industry",2019,179779.95
Czechia,"Waste and wastewater management",2019,1017210.46
Czechia,"Paper and wood production and processing",2019,99494.16
Czechia,"Intensive livestock production and aquaculture",2019,4253.35
Czechia,"Energy sector",2019,262267.98
Czechia,"Other activities",2019,302418.68
Czechia,"Production and processing of metals",2020,936380.85
Czechia,"Mineral industry",2020,117077.99
Czechia,"Energy sector",2020,223233.20
Czechia,"Chemical industry",2020,177367.55
Czechia,"Intensive livestock production and aquaculture",2020,2288.92
Czechia,"Animal and vegetable products from the food and beverage sector",2020,94563.65
Czechia,"Other activities",2020,262532.65
Czechia,"Waste and wastewater management",2020,1056764.26
Czechia,"Paper and wood production and processing",2020,101014.84
Denmark,"Paper and wood production and processing",2007,14035.00
Denmark,"Chemical industry",2007,317361.00
Denmark,"Waste and wastewater management",2007,2299020.00
Denmark,"Mineral industry",2007,62913.00
Denmark,"Animal and vegetable products from the food and beverage sector",2007,437676.00
Denmark,"Other activities",2007,44154.00
Denmark,"Production and processing of metals",2007,95515.00
Denmark,"Energy sector",2007,211936.00
Denmark,"Mineral industry",2008,39661.00
Denmark,"Chemical industry",2008,329124.12
Denmark,"Waste and wastewater management",2008,2464680.00
Denmark,"Paper and wood production and processing",2008,15472.00
Denmark,"Animal and vegetable products from the food and beverage sector",2008,242763.00
Denmark,"Other activities",2008,62758.98
Denmark,"Production and processing of metals",2008,80356.00
Denmark,"Energy sector",2008,35615.80
Denmark,"Energy sector",2009,80900.12
Denmark,"Production and processing of metals",2009,51086.44
Denmark,"Mineral industry",2009,77761.96
Denmark,"Chemical industry",2009,204428.88
Denmark,"Waste and wastewater management",2009,2334484.88
Denmark,"Paper and wood production and processing",2009,2641.20
Denmark,"Animal and vegetable products from the food and beverage sector",2009,690856.38
Denmark,"Other activities",2009,60626.23
Denmark,"Animal and vegetable products from the food and beverage sector",2010,484479.12
Denmark,"Energy sector",2010,36719.97
Denmark,"Production and processing of metals",2010,351239.83
Denmark,"Waste and wastewater management",2010,2213396.59
Denmark,"Paper and wood production and processing",2010,2876.10
Denmark,"Mineral industry",2010,29688.20
Denmark,"Other activities",2010,39512.20
Denmark,"Chemical industry",2010,435030.22
Denmark,"Paper and wood production and processing",2011,7140.10
Denmark,"Production and processing of metals",2011,188650.82
Denmark,"Animal and vegetable products from the food and beverage sector",2011,388570.48
Denmark,"Other activities",2011,35276.60
Denmark,"Mineral industry",2011,30947.70
Denmark,"Chemical industry",2011,1798517.10
Denmark,"Energy sector",2011,94982.28
Denmark,"Waste and wastewater management",2011,2379906.95
Denmark,"Chemical industry",2012,460606.89
Denmark,"Waste and wastewater management",2012,2241802.75
Denmark,"Paper and wood production and processing",2012,2457.30
Denmark,"Animal and vegetable products from the food and beverage sector",2012,512177.93
Denmark,"Other activities",2012,33546.10
Denmark,"Energy sector",2012,51279.75
Denmark,"Mineral industry",2012,70231.40
Denmark,"Production and processing of metals",2012,109869.41
Denmark,"Animal and vegetable products from the food and beverage sector",2013,323457.60
Denmark,"Other activities",2013,28425.60
Denmark,"Chemical industry",2013,493059.52
Denmark,"Waste and wastewater management",2013,2127312.89
Denmark,"Energy sector",2013,68492.46
Denmark,"Paper and wood production and processing",2013,4883.70
Denmark,"Production and processing of metals",2013,131617.73
Denmark,"Mineral industry",2013,28592.70
Denmark,"Mineral industry",2014,59752.70
Denmark,"Paper and wood production and processing",2014,4941.70
Denmark,"Animal and vegetable products from the food and beverage sector",2014,246040.92
Denmark,"Other activities",2014,33016.00
Denmark,"Energy sector",2014,45248.37
Denmark,"Waste and wastewater management",2014,2147412.21
Denmark,"Production and processing of metals",2014,72581.25
Denmark,"Chemical industry",2014,438968.83
Denmark,"Chemical industry",2015,424325.11
Denmark,"Waste and wastewater management",2015,2480060.33
Denmark,"Other activities",2015,25052.00
Denmark,"Animal and vegetable products from the food and beverage sector",2015,222159.47
Denmark,"Paper and wood production and processing",2015,5426.30
Denmark,"Mineral industry",2015,98821.00
Denmark,"Energy sector",2015,98870.79
Denmark,"Production and processing of metals",2015,17938.90
Denmark,"Production and processing of metals",2016,12701.49
Denmark,"Chemical industry",2016,385292.88
Denmark,"Energy sector",2016,145061.35
Denmark,"Mineral industry",2016,140269.80
Denmark,"Waste and wastewater management",2016,2567118.34
Denmark,"Paper and wood production and processing",2016,5100.00
Denmark,"Animal and vegetable products from the food and beverage sector",2016,228021.25
Denmark,"Other activities",2016,28957.00
Denmark,"Production and processing of metals",2017,21877.40
Denmark,"Mineral industry",2017,126742.70
Denmark,"Energy sector",2017,168510.71
Denmark,"Other activities",2017,5878.20
Denmark,"Animal and vegetable products from the food and beverage sector",2017,192496.82
Denmark,"Paper and wood production and processing",2017,18118.00
Denmark,"Waste and wastewater management",2017,738789.04
Denmark,"Chemical industry",2017,169981.44
Denmark,"Mineral industry",2018,137772.16
Denmark,"Chemical industry",2018,242425.10
Denmark,"Waste and wastewater management",2018,1518036.37
Denmark,"Paper and wood production and processing",2018,7541.68
Denmark,"Animal and vegetable products from the food and beverage sector",2018,562334.87
Denmark,"Other activities",2018,2850.80
Denmark,"Production and processing of metals",2018,18198.13
Denmark,"Energy sector",2018,132599.51
Denmark,"Energy sector",2019,54613.35
Denmark,"Mineral industry",2019,71816.51
Denmark,"Chemical industry",2019,240113.88
Denmark,"Waste and wastewater management",2019,1566201.30
Denmark,"Other activities",2019,722033.95
Denmark,"Animal and vegetable products from the food and beverage sector",2019,273547.89
Denmark,"Paper and wood production and processing",2019,8119.05
Denmark,"Production and processing of metals",2019,38927.00
Estonia,"Intensive livestock production and aquaculture",2007,10823.19
Estonia,"Other activities",2007,16487.02
Estonia,"Production and processing of metals",2007,13575.43
Estonia,"Energy sector",2007,722848.55
Estonia,"Chemical industry",2007,5192.93
Estonia,"Waste and wastewater management",2007,281288.26
Estonia,"Paper and wood production and processing",2007,14005.74
Estonia,"Animal and vegetable products from the food and beverage sector",2007,8353.00
Estonia,"Mineral industry",2007,966599.21
Estonia,"Other activities",2008,17853.91
Estonia,"Animal and vegetable products from the food and beverage sector",2008,84266.68
Estonia,"Intensive livestock production and aquaculture",2008,36599.89
Estonia,"Paper and wood production and processing",2008,46475.94
Estonia,"Waste and wastewater management",2008,346547.03
Estonia,"Energy sector",2008,875095.37
Estonia,"Chemical industry",2008,3774.30
Estonia,"Mineral industry",2008,688213.98
Estonia,"Production and processing of metals",2008,11238.52
Estonia,"Energy sector",2009,952015.11
Estonia,"Production and processing of metals",2009,3807.91
Estonia,"Mineral industry",2009,1628429.78
Estonia,"Chemical industry",2009,3460.32
Estonia,"Paper and wood production and processing",2009,37070.45
Estonia,"Intensive livestock production and aquaculture",2009,30988.34
Estonia,"Animal and vegetable products from the food and beverage sector",2009,95295.31
Estonia,"Other activities",2009,8036.72
Estonia,"Waste and wastewater management",2009,267757.63
Estonia,"Paper and wood production and processing",2010,36384.23
Estonia,"Mineral industry",2010,757260.89
Estonia,"Chemical industry",2010,3134.29
Estonia,"Waste and wastewater management",2010,332319.51
Estonia,"Intensive livestock production and aquaculture",2010,29245.45
Estonia,"Animal and vegetable products from the food and beverage sector",2010,87866.07
Estonia,"Other activities",2010,6158.09
Estonia,"Energy sector",2010,1052722.17
Estonia,"Production and processing of metals",2010,11649.48
Estonia,"Waste and wastewater management",2011,353240.46
Estonia,"Paper and wood production and processing",2011,46733.82
Estonia,"Intensive livestock production and aquaculture",2011,4.53
Estonia,"Animal and vegetable products from the food and beverage sector",2011,4743.34
Estonia,"Other activities",2011,104391.85
Estonia,"Energy sector",2011,1100991.45
Estonia,"Chemical industry",2011,2709.15
Estonia,"Production and processing of metals",2011,15241.99
Estonia,"Mineral industry",2011,389256.47
Estonia,"Waste and wastewater management",2012,359260.11
Estonia,"Energy sector",2012,1434338.06
Estonia,"Production and processing of metals",2012,18038.43
Estonia,"Mineral industry",2012,88595.78
Estonia,"Chemical industry",2012,2604.00
Estonia,"Paper and wood production and processing",2012,41466.22
Estonia,"Animal and vegetable products from the food and beverage sector",2012,3828.90
Estonia,"Other activities",2012,103075.50
Estonia,"Mineral industry",2013,9627.78
Estonia,"Chemical industry",2013,2244.34
Estonia,"Waste and wastewater management",2013,410418.95
Estonia,"Paper and wood production and processing",2013,2411.69
Estonia,"Animal and vegetable products from the food and beverage sector",2013,10915.59
Estonia,"Other activities",2013,143802.70
Estonia,"Production and processing of metals",2013,13371.03
Estonia,"Energy sector",2013,1904689.90
Estonia,"Production and processing of metals",2014,16953.00
Estonia,"Other activities",2014,184545.80
Estonia,"Animal and vegetable products from the food and beverage sector",2014,15115.43
Estonia,"Intensive livestock production and aquaculture",2014,3.66
Estonia,"Paper and wood production and processing",2014,178.74
Estonia,"Waste and wastewater management",2014,348200.32
Estonia,"Chemical industry",2014,2481.08
Estonia,"Mineral industry",2014,4294.29
Estonia,"Energy sector",2014,2134136.69
Estonia,"Energy sector",2015,2768161.50
Estonia,"Mineral industry",2015,2495.65
Estonia,"Chemical industry",2015,2345.45
Estonia,"Waste and wastewater management",2015,272460.33
Estonia,"Paper and wood production and processing",2015,3544.19
Estonia,"Intensive livestock production and aquaculture",2015,44.00
Estonia,"Animal and vegetable products from the food and beverage sector",2015,15942.19
Estonia,"Other activities",2015,9236.80
Estonia,"Production and processing of metals",2015,15220.15
Estonia,"Intensive livestock production and aquaculture",2016,28.32
Estonia,"Paper and wood production and processing",2016,5085.83
Estonia,"Waste and wastewater management",2016,370080.10
Estonia,"Other activities",2016,18653.00
Estonia,"Energy sector",2016,2950088.34
Estonia,"Production and processing of metals",2016,15558.87
Estonia,"Animal and vegetable products from the food and beverage sector",2016,24738.70
Estonia,"Mineral industry",2016,218.60
Estonia,"Chemical industry",2016,2290.81
Estonia,"Chemical industry",2017,9469.18
Estonia,"Energy sector",2017,1823228.41
Estonia,"Waste and wastewater management",2017,591204.63
Estonia,"Mineral industry",2017,230.38
Estonia,"Paper and wood production and processing",2017,6659.82
Estonia,"Production and processing of metals",2017,16423.38
Estonia,"Animal and vegetable products from the food and beverage sector",2017,24573.40
Estonia,"Other activities",2017,7544.00
Estonia,"Mineral industry",2018,355.59
Estonia,"Paper and wood production and processing",2018,62766.98
Estonia,"Intensive livestock production and aquaculture",2018,46.69
Estonia,"Chemical industry",2018,2559.70
Estonia,"Production and processing of metals",2018,16705.52
Estonia,"Animal and vegetable products from the food and beverage sector",2018,22565.38
Estonia,"Energy sector",2018,1966798.71
Estonia,"Waste and wastewater management",2018,492233.29
Estonia,"Other activities",2018,10193.31
Estonia,"Other activities",2019,4809.78
Estonia,"Mineral industry",2019,2367.17
Estonia,"Chemical industry",2019,3656.08
Estonia,"Production and processing of metals",2019,5295.52
Estonia,"Energy sector",2019,2068520.04
Estonia,"Waste and wastewater management",2019,280892.90
Estonia,"Paper and wood production and processing",2019,51381.53
Estonia,"Intensive livestock production and aquaculture",2019,76.00
Estonia,"Animal and vegetable products from the food and beverage sector",2019,19940.00
Estonia,"Other activities",2020,14192.77
Estonia,"Mineral industry",2020,166.95
Estonia,"Animal and vegetable products from the food and beverage sector",2020,38167.40
Estonia,"Energy sector",2020,2256512.58
Estonia,"Paper and wood production and processing",2020,40477.28
Estonia,"Waste and wastewater management",2020,427752.59
Estonia,"Production and processing of metals",2020,13419.90
Estonia,"Chemical industry",2020,617.27
Estonia,"Intensive livestock production and aquaculture",2020,38.92
Finland,"Chemical industry",2007,778263.42
Finland,"Mineral industry",2007,694968.39
Finland,"Production and processing of metals",2007,1675017.17
Finland,"Waste and wastewater management",2007,4428982.46
Finland,"Energy sector",2007,2049524.69
Finland,"Paper and wood production and processing",2007,2220056.68
Finland,"Other activities",2007,79580.58
Finland,"Intensive livestock production and aquaculture",2007,11619.10
Finland,"Animal and vegetable products from the food and beverage sector",2007,184627.33
Finland,"Animal and vegetable products from the food and beverage sector",2008,195955.22
Finland,"Paper and wood production and processing",2008,2385264.18
Finland,"Waste and wastewater management",2008,3436185.96
Finland,"Intensive livestock production and aquaculture",2008,11602.60
Finland,"Chemical industry",2008,1018968.62
Finland,"Other activities",2008,86526.29
Finland,"Production and processing of metals",2008,1476284.74
Finland,"Energy sector",2008,1668227.82
Finland,"Mineral industry",2008,1018267.67
Finland,"Mineral industry",2009,904633.52
Finland,"Chemical industry",2009,634895.45
Finland,"Energy sector",2009,1585233.32
Finland,"Paper and wood production and processing",2009,1901457.37
Finland,"Intensive livestock production and aquaculture",2009,4161.90
Finland,"Animal and vegetable products from the food and beverage sector",2009,185172.07
Finland,"Production and processing of metals",2009,680100.34
Finland,"Other activities",2009,59524.65
Finland,"Waste and wastewater management",2009,2899711.78
Finland,"Mineral industry",2010,717244.88
Finland,"Animal and vegetable products from the food and beverage sector",2010,186689.11
Finland,"Other activities",2010,48362.72
Finland,"Paper and wood production and processing",2010,2038979.25
Finland,"Chemical industry",2010,610833.80
Finland,"Intensive livestock production and aquaculture",2010,174729.74
Finland,"Production and processing of metals",2010,748260.70
Finland,"Energy sector",2010,1798943.15
Finland,"Waste and wastewater management",2010,3374830.44
Finland,"Waste and wastewater management",2011,3649995.87
Finland,"Paper and wood production and processing",2011,1812629.88
Finland,"Energy sector",2011,1541370.02
Finland,"Intensive livestock production and aquaculture",2011,170888.60
Finland,"Animal and vegetable products from the food and beverage sector",2011,216359.30
Finland,"Production and processing of metals",2011,839099.13
Finland,"Other activities",2011,54200.21
Finland,"Chemical industry",2011,791902.48
Finland,"Mineral industry",2011,381682.17
Finland,"Chemical industry",2012,590875.40
Finland,"Paper and wood production and processing",2012,2116329.14
Finland,"Intensive livestock production and aquaculture",2012,181178.10
Finland,"Animal and vegetable products from the food and beverage sector",2012,199065.01
Finland,"Waste and wastewater management",2012,3789117.97
Finland,"Other activities",2012,68881.80
Finland,"Mineral industry",2012,29183.99
Finland,"Production and processing of metals",2012,810179.33
Finland,"Energy sector",2012,1472256.28
Finland,"Energy sector",2013,1435321.26
Finland,"Mineral industry",2013,46480.94
Finland,"Chemical industry",2013,591321.95
Finland,"Waste and wastewater management",2013,4154947.96
Finland,"Paper and wood production and processing",2013,1722753.84
Finland,"Intensive livestock production and aquaculture",2013,148193.40
Finland,"Animal and vegetable products from the food and beverage sector",2013,556531.91
Finland,"Other activities",2013,53635.06
Finland,"Production and processing of metals",2013,359016.73
Finland,"Waste and wastewater management",2014,4288462.55
Finland,"Paper and wood production and processing",2014,1553901.40
Finland,"Chemical industry",2014,633034.33
Finland,"Intensive livestock production and aquaculture",2014,146776.10
Finland,"Animal and vegetable products from the food and beverage sector",2014,312793.65
Finland,"Other activities",2014,57455.93
Finland,"Mineral industry",2014,29172.19
Finland,"Production and processing of metals",2014,325597.73
Finland,"Energy sector",2014,1374236.51
Finland,"Mineral industry",2015,23261.40
Finland,"Chemical industry",2015,495245.59
Finland,"Energy sector",2015,1151160.37
Finland,"Production and processing of metals",2015,756220.59
Finland,"Waste and wastewater management",2015,4001910.16
Finland,"Paper and wood production and processing",2015,1498007.18
Finland,"Intensive livestock production and aquaculture",2015,51558.50
Finland,"Animal and vegetable products from the food and beverage sector",2015,306124.59
Finland,"Other activities",2015,52904.52
Finland,"Animal and vegetable products from the food and beverage sector",2016,460243.08
Finland,"Chemical industry",2016,367874.02
Finland,"Other activities",2016,54980.63
Finland,"Waste and wastewater management",2016,3910139.75
Finland,"Energy sector",2016,1230992.45
Finland,"Mineral industry",2016,64934.21
Finland,"Production and processing of metals",2016,895832.86
Finland,"Intensive livestock production and aquaculture",2016,21229.00
Finland,"Paper and wood production and processing",2016,1615836.73
Finland,"Production and processing of metals",2017,1098666.15
Finland,"Chemical industry",2017,203884.19
Finland,"Paper and wood production and processing",2017,1587029.42
Finland,"Intensive livestock production and aquaculture",2017,1000752.60
Finland,"Animal and vegetable products from the food and beverage sector",2017,257295.22
Finland,"Waste and wastewater management",2017,4794828.24
Finland,"Other activities",2017,49780.38
Finland,"Energy sector",2017,958348.86
Finland,"Mineral industry",2017,242515.12
Finland,"Mineral industry",2018,1352635.72
Finland,"Production and processing of metals",2018,953347.18
Finland,"Waste and wastewater management",2018,3690759.56
Finland,"Chemical industry",2018,153521.87
Finland,"Paper and wood production and processing",2018,1815943.60
Finland,"Intensive livestock production and aquaculture",2018,545642.44
Finland,"Animal and vegetable products from the food and beverage sector",2018,258977.46
Finland,"Other activities",2018,51143.79
Finland,"Energy sector",2018,1091038.57
Finland,"Energy sector",2019,942233.31
Finland,"Production and processing of metals",2019,870262.97
Finland,"Mineral industry",2019,1955473.69
Finland,"Chemical industry",2019,190977.00
Finland,"Waste and wastewater management",2019,4231450.28
Finland,"Paper and wood production and processing",2019,1396770.16
Finland,"Intensive livestock production and aquaculture",2019,633550.80
Finland,"Other activities",2019,212403.20
Finland,"Animal and vegetable products from the food and beverage sector",2019,242160.73
Finland,"Chemical industry",2020,456593.54
Finland,"Waste and wastewater management",2020,4078024.81
Finland,"Paper and wood production and processing",2020,1123348.81
Finland,"Animal and vegetable products from the food and beverage sector",2020,235844.50
Finland,"Intensive livestock production and aquaculture",2020,661484.18
Finland,"Other activities",2020,55962.39
Finland,"Mineral industry",2020,1680292.39
Finland,"Energy sector",2020,708809.99
Finland,"Production and processing of metals",2020,923925.73
France,"Energy sector",2007,975203.60
France,"Mineral industry",2007,183149.41
France,"Chemical industry",2007,1060971.13
France,"Production and processing of metals",2007,2143533.68
France,"Other activities",2007,509051.51
France,"Waste and wastewater management",2007,3829189.62
France,"Paper and wood production and processing",2007,1403829.33
France,"Animal and vegetable products from the food and beverage sector",2007,1529692.71
France,"Waste and wastewater management",2008,5358074.00
France,"Animal and vegetable products from the food and beverage sector",2008,2253768.10
France,"Chemical industry",2008,1232042.06
France,"Other activities",2008,454901.62
France,"Paper and wood production and processing",2008,1296158.19
France,"Energy sector",2008,1126587.86
France,"Production and processing of metals",2008,6667633.66
France,"Mineral industry",2008,226249.32
France,"Production and processing of metals",2009,3480016.38
France,"Paper and wood production and processing",2009,1244476.29
France,"Animal and vegetable products from the food and beverage sector",2009,1953573.62
France,"Other activities",2009,299650.39
France,"Chemical industry",2009,1033161.59
France,"Mineral industry",2009,277676.10
France,"Energy sector",2009,1220820.12
France,"Waste and wastewater management",2009,6292559.65
France,"Energy sector",2010,1360933.92
France,"Mineral industry",2010,197532.78
France,"Production and processing of metals",2010,4215060.10
France,"Chemical industry",2010,1168107.71
France,"Waste and wastewater management",2010,6314967.82
France,"Paper and wood production and processing",2010,1607044.75
France,"Animal and vegetable products from the food and beverage sector",2010,10107552.73
France,"Other activities",2010,925084.61
France,"Energy sector",2011,1365677.69
France,"Waste and wastewater management",2011,6828367.98
France,"Production and processing of metals",2011,6213937.88
France,"Paper and wood production and processing",2011,1575658.11
France,"Animal and vegetable products from the food and beverage sector",2011,3965374.25
France,"Other activities",2011,317968.24
France,"Chemical industry",2011,1121007.72
France,"Mineral industry",2011,219849.25
France,"Mineral industry",2012,483821.55
France,"Chemical industry",2012,1764696.94
France,"Waste and wastewater management",2012,8448013.52
France,"Animal and vegetable products from the food and beverage sector",2012,6656538.51
France,"Other activities",2012,393233.07
France,"Production and processing of metals",2012,8458404.14
